Day;Sleep;Writing;Studying;Sport;Music;Hygiene;Languages;Reading;Socializing;Mood
7/4/2023;7,0;0,0;2,5;1,2;0,0;1,0;0,0;0,0;0,0;8
8/4/2023;7,5;0,0;0,0;2,0;1,5;1,0;0,0;0,0;4,0;7,5
9/4/2023;7,0;1,0;0,0;0,0;1,0;1,0;0,0;0,0;15,0;9,5
10/4/2023;9,5;0,0;2,0;0,0;0,5;1,0;0,0;0,0;5,0;9
11/4/2023;8,0;0,7;4,5;1,2;0,0;1,0;0,0;0,0;1,5;8
12/4/2023;7,5;0,8;1,5;1,6;0,0;1,0;0,0;0,1;0,5;8,5
13/4/2023;7,5;1,5;1,6;1,1;2,1;1,0;0,5;0,3;0,0;7,5
14/4/2023;7,0;1,5;2,0;1,4;0,0;1,0;0,0;0,3;0,5;7,5
15/4/2023;7,8;0,5;5,5;0,0;1,5;1,0;0,0;2,7;7,5;8
16/4/2023;7,5;1,0;2,0;1,5;3,0;1,0;0,0;0,8;0,0;7
17/4/2023;7,0;0,0;0,0;0,0;3,0;0,8;0,0;0,0;6,0;9,5
18/4/2023;6,5;2,5;2,0;0,0;0,0;0,8;0,0;2,0;6,0;8,5
19/4/2023;8,0;1,0;3,0;1,3;0,0;1,0;0,0;1,0;4,0;9
20/4/2023;7,3;2,0;4,0;1,2;1,0;1,0;0,0;4,0;4,0;8,5
21/4/2023;7,4;1,0;1,0;0,0;1,0;0,8;0,0;3,0;4,0;8
22/4/2023;6,0;0,5;2,0;0,0;3,5;0,8;0,0;0,0;3,5;7
23/4/2023;6,5;1,5;0,0;0,0;0,0;1,0;0,0;0,0;6,0;7,5
24/4/2023;7,0;0,0;1,5;1,6;0,0;1,0;0,0;0,0;1,0;8
25/4/2023;7,2;1,2;5,0;1,8;0,0;1,0;0,0;0,5;4,0;6,5
26/4/2023;7,0;0,0;0,0;0,0;4,0;1,0;1,5;0,5;6,0;9
27/4/2023;5,5;0,5;0,0;0,0;0,5;1,0;0,0;0,5;8,0;8
28/4/2023;7,5;0,5;0,0;1,0;0,5;0,5;0,5;0,0;8,0;7,5
29/4/2023;2,5;0,5;0,0;5,0;0,0;0,0;0,0;1,0;16,0;9
30/4/2023;8,0;0,5;0,0;3,0;0,0;0,5;0,0;1,3;9,0;7,5
1/5/2023;8,0;0,7;4,5;0,0;0,5;0,5;0,0;0,5;2,0;8
2/5/2023;7,0;0,5;6,0;0,0;3,0;1,0;0,0;2,0;3,0;7,5
3/5/2023;7,4;0,7;7,0;0,0;2,0;1,0;0,0;2,0;2,5;8
4/5/2023;6,8;0,2;6,0;0,0;0,0;1,0;0,0;5,0;3,0;9
5/5/2023;5,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;12,0;9,5
6/5/2023;6,0;0,5;3,0;0,0;0,0;1,0;0,0;2,5;16,0;9
7/5/2023;6,5;1,5;2,0;0,0;0,0;1,0;0,0;2,5;10,0;8
8/5/2023;8,0;0,5;5,0;1,2;0,5;1,0;0,0;1,0;2,0;7
9/5/2023;6,5;1,5;5,0;1,2;0,0;1,0;0,0;1,0;4,5;7,5
10/5/2023;8,0;1,0;2,5;0,0;2,0;1,0;0,3;0,5;3,0;8
11/5/2023;8,0;0,0;4,0;0,0;0,5;1,0;0,0;1,0;7,0;8
12/5/2023;6,0;1,0;0,0;0,0;0,0;1,0;0,0;1,5;14,0;7,5
13/5/2023;7,0;0,0;0,0;0,0;0,0;0,7;0,0;0,8;17,0;9,5
14/5/2023;8,0;1,5;0,0;0,0;0,0;1,0;0,0;2,0;3,5;8,5
15/5/2023;8,0;0,7;2,5;1,6;0,0;1,0;0,0;0,5;2,5;8
16/5/2023;7,5;4,0;3,0;0,0;2,5;1,0;0,0;0,0;6,0;7
17/5/2023;5,5;0,0;6,0;1,3;1,0;1,0;0,0;0,5;4,0;7,5
18/5/2023;7,0;5,0;1,0;0,0;2,0;1,0;0,0;0,5;0,5;8
19/5/2023;6,9;0,0;0,0;1,2;3,0;1,0;0,0;3,0;0,0;7
20/5/2023;8,0;5,0;0,0;0,9;0,5;1,0;0,0;0,0;0,0;6,5
21/5/2023;5,50;0,0;0,8;0,0;1,5;1,0;0,0;0,6;3,0;8
22/5/2023;7,0;0,0;3,0;1,3;1,0;1,0;0,0;0,5;0,0;7,5
23/5/2023;6,0;0,0;5,0;0,0;0,2;1,0;0,0;0,5;12,5;8,5
24/5/2023;5,0;2,5;4,0;0,0;0,5;1,0;0,0;0,5;5,0;8,5
25/5/2023;7,0;0,0;5,0;0,0;2,0;1,0;0,0;0,0;0,0;8
26/5/2023;6,5;0,0;4,0;0,0;1,0;1,0;0,0;0,0;8,0;9
27/5/2023;7,0;0,0;1,5;0,0;1,0;1,0;0,0;0,5;13,0;9
28/5/2023;7,0;0,2;0,5;0,0;0,0;1,0;0,0;1,0;7,0;9
29/5/2023;8,0;0,6;3,2;0,9;1,5;1,0;0,0;0,5;0,0;8
30/5/2023;7,5;2,5;1,5;1,0;0,0;1,0;1,0;0,5;0,0;7,5
31/5/2023;2,0;1,0;2,0;0,0;1,0;1,0;0,0;1,0;0,0;6
1/6/2023;5,5;0,5;1,0;0,0;0,5;1,0;0,5;0,5;0,0;7
2/6/2023;7,0;0,5;0,0;1,5;2,5;0,8;0,0;1,0;3,5;8
3/6/2023;7,0;0,0;1,5;0,0;0,0;1,0;0,5;0,7;6,0;9
4/6/2023;6,0;0,0;2,8;0,0;0,0;1,0;0,0;0,0;8,0;9
5/6/2023;6,0;0,0;0,0;1,8;5,0;0,8;0,0;0,0;0,0;8
6/6/2023;7,0;0,0;2,0;1,3;2,0;1,0;0,3;0,0;0,0;9
7/6/2023;6,0;0,0;7,0;0,0;0,5;1,0;0,0;0,7;8,5;7,5
8/6/2023;5,5;0,0;2,0;0,5;2,6;1,0;0,0;0,3;2,0;7,5
9/6/2023;8,0;1,2;0,8;0,2;1,5;1,0;0,0;3,0;0,0;8
10/6/2023;7,5;1,5;2,5;1,0;0,2;1,0;0,0;0,0;0,0;8
11/6/2023;7,0;1,5;2,5;1,4;0,0;0,8;0,0;0,0;0,0;8
12/6/2023;6,0;0,6;2,5;0,0;1,0;1,0;0,0;0,0;0,5;6
13/6/2023;8,0;4,0;0,0;1,5;0,0;1,0;0,0;0,0;0,0;8
14/6/2023;7,0;1,5;1,0;0,0;0,0;1,0;0,0;0,0;0,5;8,5
15/6/2023;6,0;1,0;2,0;0,0;1,5;1,0;0,0;0,0;0,0;8
16/6/2023;7,0;0,0;0,0;1,1;0,0;1,0;0,0;0,5;3,5;6,5
17/6/2023;5,0;0,0;3,0;0,0;0,0;1,0;0,0;0,0;0,0;7
18/6/2023;7,0;0,0;3,5;0,0;2,0;1,0;0,0;0,0;0,0;7,5
19/6/2023;7,2;0,0;2,0;1,0;0,2;1,0;0,0;0,0;1,0;7
20/6/2023;5,5;0,0;0,8;0,0;0,8;1,0;0,0;0,0;0,0;7
21/6/2023;7,5;0,0;4,0;0,0;0,5;0,8;0,0;0,0;5,5;8
22/6/2023;7,0;0,0;2,0;1,2;0,0;0,8;0,0;0,0;3,0;8,5
23/6/2023;6,0;0,0;1,2;0,5;0,5;0,8;0,0;0,0;16,0;9,5
24/6/2023;5,0;0,0;0,0;0,5;0,0;0,8;0,0;0,0;16,0;9
25/6/2023;8,0;0,0;1,0;0,0;1,0;0,8;0,0;0,0;4,5;9
26/6/2023;5,5;0,0;2,0;1,8;0,0;1,0;0,0;0,0;0,0;7,5
27/6/2023;5,5;0,0;0,0;0,0;5,0;0,8;0,0;0,0;8,0;8
28/6/2023;4,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;8
29/6/2023;6,0;0,0;0,0;0,0;3,0;1,0;0,0;0,0;3,5;8
30/6/2023;8,0;0,0;0,0;1,7;0,0;1,0;0,0;0,0;5,0;7
1/7/2023;4,0;0,3;0,0;0,0;0,0;0,6;0,0;0,5;0,0;5,5
2/7/2023;7,5;0,0;0,0;0,0;2,5;1,0;0,0;0,0;4,0;7
3/7/2023;7,0;0,0;0,0;1,4;0,0;1,0;0,0;0,0;2,0;7,5
4/7/2023;7,0;1,5;1,0;0,0;1,0;1,0;0,0;0,0;2,0;7
5/7/2023;7,0;1,0;0,0;2,5;1,0;0,5;0,0;0,5;8,0;8
6/7/2023;5,0;1,0;0,0;7,0;0,0;0,1;0,0;0,0;14,0;7
7/7/2023;7,0;0,0;0,0;7,0;0,0;0,5;0,0;0,0;14,0;7
8/7/2023;7,0;0,0;0,0;4,0;0,0;0,7;0,0;0,0;14,0;9
9/7/2023;7,0;0,0;0,0;1,0;3,0;1,0;0,0;0,2;6,0;8
10/7/2023;5,5;0,0;1,0;0,0;1,0;1,0;0,0;0,0;1,5;6,5
11/7/2023;6,8;0,5;0,0;1,2;1,5;1,0;0,0;0,2;0,0;6
12/7/2023;6,5;0,5;0,5;0,0;1,5;1,0;0,0;0,2;6,0;7
13/7/2023;7,0;0,5;4,0;0,0;2,0;1,0;0,0;1,5;3,0;8
14/7/2023;7,0;0,0;3,5;0,0;2,5;1,0;0,0;2,0;5,0;8
15/7/2023;6,5;0,0;0,0;1,3;1,5;1,0;0,7;0,0;2,0;8
16/7/2023;6,5;1,0;0,0;0,3;0,1;1,0;2,5;0,0;0,0;8,5
17/7/2023;7,0;1,0;4,0;1,0;0,5;1,0;0,1;1,5;0,5;7,5
18/7/2023;7,0;0,0;1,0;0,0;1,0;1,0;0,2;0,0;1,0;7
19/7/2023;7,0;0,0;1,0;0,0;1,0;1,0;0,1;0,0;2,0;7,5
20/7/2023;6,5;0,0;0,0;1,2;1,5;0,7;0,0;0,0;0,5;6
21/7/2023;7,5;0,0;3,5;0,0;1,0;1,0;0,6;0,2;0,5;6
22/7/2023;8,0;0,0;0,0;0,5;0,0;0,8;0,3;0,0;10,0;7
23/7/2023;5,0;0,0;0,0;1,2;0,0;0,8;0,3;0,0;8,0;8
24/7/2023;7,0;0,0;3,0;0,0;6,0;1,0;0,0;0,2;4,0;8,5
25/7/2023;7,0;0,0;1,5;1,3;3,5;1,0;0,7;0,0;4,0;9
26/7/2023;7,5;0,7;5,0;0,0;1,2;1,0;0,2;0,9;0,5;8
27/7/2023;7,0;0,1;0,5;1,1;4,0;0,8;0,0;0,0;0,0;8
28/7/2023;6,5;0,0;0,2;1,0;1,0;1,0;0,1;0,0;6,0;9,5
29/7/2023;6,5;0,0;0,0;0,0;0,0;0,7;0,1;0,0;15,0;9,5
30/7/2023;7,5;0,0;0,0;0,0;0,5;1,0;0,0;0,0;5,0;6,5
31/7/2023;6,0;0,0;0,2;1,2;0,0;1,0;1,9;0,2;0,0;8
1/8/2023;6,2;0,0;0,0;0,0;2,5;1,0;0,7;0,0;0,8;7
2/8/2023;7,0;0,6;0,0;0,5;2,0;1,0;0,8;0,0;0,0;7
3/8/2023;7,0;0,0;0,0;0,0;1,0;1,0;0,6;0,0;0,0;7
4/8/2023;7,0;0,0;0,0;3,5;0,0;0,5;0,2;0,0;10,0;8,5
5/8/2023;6,0;0,0;0,0;7,0;0,0;0,1;0,0;0,0;14,0;9
6/8/2023;4,0;0,0;0,0;3,0;0,0;0,5;0,0;0,0;6,0;7,5
7/8/2023;7,0;0,0;0,0;0,0;1,0;1,0;0,7;0,0;0,0;8
8/8/2023;6,2;0,0;0,0;1,2;4,6;1,0;0,6;0,0;0,0;7
9/8/2023;7,5;0,0;0,0;0,0;2,0;1,0;0,0;0,0;0,0;8
10/8/2023;7,0;0,0;0,0;0,0;3,5;1,0;0,0;0,0;0,2;8,5
11/8/2023;6,5;0,0;0,0;1,6;1,2;1,0;0,5;0,0;3,0;8
12/8/2023;6,0;0,0;0,0;1,2;1,0;1,0;0,0;0,0;16,0;9,5
13/8/2023;6,0;0,0;0,0;1,2;0,5;0,8;0,0;0,0;13,0;9
14/8/2023;8,0;0,0;0,0;0,0;2,0;1,0;0,0;1,0;6,0;8,5
15/8/2023;6,0;0,0;0,0;0,0;2,0;1,0;0,2;0,0;0,0;8
16/8/2023;7,5;0,0;0,0;1,3;8,0;1,0;0,7;0,0;0,0;7,5
17/8/2023;6,5;0,0;0,0;0,0;5,0;1,0;0,3;0,0;0;7,5
18/8/2023;6,5;0,0;0,0;1,2;1,0;0,8;0,0;0,0;0;6
19/8/2023;6,5;0,0;0,0;0,0;7,0;0,8;0,5;0,7;1;8
20/8/2023;7,2;0,5;0,0;1,5;1,0;1,0;1,0;0,0;0;8
21/8/2023;7,0;0,0;0,0;0,9;2,0;1,0;1,4;0,0;0;7
22/8/2023;7,5;0,0;0,0;0,0;4,0;1,0;0,8;0,5;4;8
23/8/2023;5,8;0,0;0,0;1,5;5,0;1,0;1,5;0,0;0;7,5
24/8/2023;6,0;0,0;0,0;1,2;2,0;1,0;1,0;0,0;5;8,5
25/8/2023;6,0;0,0;0,0;1,1;0,2;1,0;0,4;1,0;3,5;7,5
26/8/2023;7,0;0,0;0,0;0,0;0,5;1,0;0,0;0,0;14;9
27/8/2023;7,5;0,6;0,0;0,0;0,5;0,8;0,5;0,0;8;9
28/8/2023;7,0;0,0;3,5;0,0;0,5;1,0;1,0;1,2;2;9
29/8/2023;5,5;0,0;0,0;0,6;0,7;1,0;2,5;1,1;0;9
30/8/2023;7,5;0,0;0,0;0,4;2,0;1,0;0,8;2,4;1,2;7
31/8/2023;7,5;0,8;1,0;0,4;1,0;1,0;0,4;1,2;0,8;8
1/9/2023;7,2;0,0;0,0;0,0;1,0;1,0;0,2;1,5;0;8
2/9/2023;7,0;0,4;0,0;0,0;5,0;1,0;0,1;0,0;4;9,5
3/9/2023;8,0;0,0;0,0;0,0;1,0;1,0;0,2;1,0;10;9,5
4/9/2023;6,0;0,0;4,1;0,1;0,0;1,0;0,0;1,5;3;7,5
5/9/2023;7,0;0,5;2,5;0,0;0,0;0,8;0,2;1,5;2;8
